Gripe Sazonal (Influenza) | > 65 anos, crianças < 2 anos, grávidas, imunodeprimidos. | Temp > 39.5ºC, HR > 110 bpm, O2 < 92%, BP sistólica < 90. | Febre súbita, dores musculares intensas (mialgias), fadiga, tosse seca, arrepios. | Sintomas não melhoram após 3 a 5 dias ou agravam subitamente. | Evitar Ibuprofeno/AINEs em doentes com asma grave ou úlcera gástrica ativa; evitar Paracetamol em doentes com insuficiência hepática. | Qual é a sua idade? Mediu a saturação de oxigénio ou a frequência cardíaca? Tem alguma doença crónica (asma, problemas de fígado) ou alergia a medicamentos? | Se O2 < 92% ou dificuldade respiratória severa, contactar 112 ou ir à Urgência. Caso contrário: Repouso, hidratação e Paracetamol 1000mg (se não houver contraindicação hepática) para febre/dor.
Apendicite Aguda | Crianças > 10 anos e jovens adultos (10-30 anos). Risco de perfuração em idosos. | Temp > 38.5ºC, HR > 110 bpm, O2 normal. Dor severa ao largar a barriga rápido (Sinal de Blumberg). | Dor que começa na zona do umbigo e desce para o lado inferior direito da barriga, perda total de apetite (anorexia), febre baixa inicial, vómitos, incapacidade de esticar a perna direita. | Dor contínua que agrava no espaço de 12 a 24 horas, tornando-se insuportável com o movimento (tossir ou andar). | Contraindicada a toma de analgésicos fortes ou laxantes antes de avaliação médica, pois podem mascarar a perfuração ou agravar o quadro. Não aplicar botijas de água quente (pode acelerar rutura). | A dor começou no centro da barriga e passou para o lado direito ao fundo? Tem febre associada a náuseas? A dor piora se tossir ou der um pequeno salto? | SUSPEITA CIRÚRGICA DE URGÊNCIA. Não comer nem beber nada (dieta zero). Dirigir-se de imediato ao Serviço de Urgência Hospitalar mais próximo.
Refluxo Gastroesofágico e Azia | Adultos obesos, grávidas, fumadores e idosos com hérnia do hiato. | Atenção: Descartar SEMPRE enfarte do miocárdio em adultos > 45 anos com dor no peito opressiva. | Sensação de ardor no peito a subir para a garganta (pirose), sabor ácido/amargo na boca, tosse seca matinal, arrotos frequentes. | Ardor que ocorre rotineiramente pós-refeições e agrava consideravelmente ao deitar. | Evitar leite integral como "calmante" (provoca efeito rebote de ácido). Contraindicados AINEs (Ibuprofeno/Aspirina) por piorarem a erosão gástrica. | O ardor sobe pelo peito até à garganta e piora quando se deita? Tem dor tipo aperto no peito que vai para o braço esquerdo? Há vómitos com aspeto de borras de café? | Se a dor for no peito e irradiar, LIGAR 112. Se for ardor típico: Não deitar nas 2h seguintes à refeição. Tomar antiácidos de venda livre (ex: sais de alumínio/magnésio). Marcar consulta.
Úlcera Gástrica (Crise Ativa) | Adultos > 50 anos, consumidores crónicos de AINEs, stress severo, fumadores. | HR > 110 bpm, BP sistólica < 90, suores frios e tonturas acompanhados de vómitos escuros/sangue (Hemorragia Digestiva Alta). | Dor na boca do estômago (epigastro) tipo "fome dolorosa" ou ardor, que acalma com a comida e piora 2 a 3 horas depois. Sensação de enfartamento rápido. | Dor muito aguda e súbita, em "facada", que torna a barriga dura como tábua (sinal de perfuração). | Completamente contraindicado o uso de Aspirina ou Ibuprofeno (risco altíssimo de hemorragia grave). | Sentiu a barriga ficar subitamente dura e com dor insuportável? Os seus vómitos têm cor negra ou sangue? As fezes estão escuras como alcatrão? | Se fezes negras ou vómitos escuros: EMERGÊNCIA. Ir ao hospital. Para dor ligeira/moderada e conhecida: Tomar protetor gástrico (inibidor da bomba de protões se tiver em casa) e Paracetamol. Evitar café, álcool e picantes.
Otite Média Aguda | Crianças < 5 anos, historial de constipações frequentes, frequência de infantários. | Febre > 39.5ºC. Risco grave: confusão, rigidez no pescoço e letargia (possibilidade de Meningite secundária). | Dor de ouvidos intensa (otalgia) geralmente num lado, febre súbita, perda de apetite, a criança puxa ou roça muito a orelha, choro inconsolável à noite. | Dor contínua acompanhada de febre que dura há mais de 48 a 72 horas. | Contraindicada a introdução de cotonetes, óleos caseiros ou água no ouvido. | Há saída de sangue ou líquido amarelado pelo ouvido? A criança apresenta febre alta ou rigidez no pescoço? Tem notado a zona atrás da orelha muito vermelha e inchada? | Se pus/sangue do ouvido ou prostração intensa: Urgência. Para alívio seguro: Paracetamol ou Ibuprofeno em xarope (dose por peso da criança). Elevar a cabeceira da cama. Antibiótico apenas com ida ao centro de saúde.
Amigdalite Bacteriana (Estreptocócica) | Crianças de idade escolar (5-15 anos), jovens adultos. Incomum em < 3 anos. | Febre > 39ºC persistente. Alarme: incapacidade de engolir a própria saliva, alteração do som da voz ("voz de batata quente"), dificuldade respiratória. | Dor de garganta forte e súbita (odinofagia), dor ao engolir, gânglios do pescoço inchados e doridos, amígdalas muito vermelhas com manchas/placas de pus branco. Ausência de tosse. | Febre e dor que não melhoram após 3 a 4 dias de evolução. | Não usar antibióticos (Amoxicilina) que sobraram de infeções anteriores. | Acha impossível engolir líquidos ou engole a sua saliva com muita dificuldade? Ao abrir a boca vê placas brancas ou amarelas na garganta? Tem febre superior a 38.5ºC? | Se não conseguir engolir líquidos ou tiver falta de ar: Urgência. Para alívio: Paracetamol ou Ibuprofeno, alimentos frios ou mornos pastosos. Necessita de observação médica nas próximas 48h para avaliar toma de antibiótico.
Cólica Menstrual Intensa (Dismenorreia) | Mulheres jovens (adolescência até 30 anos), doentes com Endometriose conhecida. | Febre > 38ºC acompanhada de corrimento purulento (alerta de Infeção Pélvica). BP sistólica < 90 com hemorragia maciça. | Cãibras intensas no baixo ventre, dores na região lombar baixa, náuseas, dor de cabeça associada, ligeira diarreia nos primeiros dias da menstruação. | Dores que subitamente se tornam insuportáveis e não melhoram com medicação usual, durando mais do que os dias típicos do período. | Evitar banhos de emersão se houver hemorragia massiva contínua (risco de desmaio por vasodilatação e perda de pressão). | A sua dor está acompanhada de febre alta ou corrimento de cheiro fétido? A hemorragia está anormalmente forte (usa mais de 1 penso por hora)? Tem possibilidade de estar grávida? | Se febre ou suspeita de gravidez (gravidez ectópica): Urgência Ginecológica. Para crise normal: Aplicação de botija de água quente no baixo ventre. Toma profilática de Ibuprofeno ou Naproxeno (AINEs reduzem a produção de prostaglandinas).
Cólicas Frequentes no Bebé (Lactente) | Bebés desde a 2ª semana de vida até aos 3/4 meses de idade. | Ausência total de dejeções, vómitos repetidos "em jato", febre (qualquer febre < 3 meses é ida obrigatória ao hospital), sangue vivo nas fezes. | Choro súbito, forte e agudo, normalmente ao fim do dia/início da noite. O bebé flete as pernas sobre a barriga, punhos fechados e cara avermelhada. Dificuldade em libertar gases. | Episódios de choro que duram mais de 3 horas por dia, 3 dias por semana. | Não dar "chás caseiros" (anis, funcho) ou água a bebés com menos de 4 meses sem aval do pediatra (risco de intoxicação hídrica e cortes nutricionais). | O bebé tem menos de 3 meses e está com febre (medida no rabinho superior a 38ºC)? Notou fezes muito duras ou com fios de sangue? O choro dura o dia todo ou só ao fim da tarde? | Qualquer febre ou vómitos verdes em bebés < 3 meses: Urgência Pediátrica Imediata. Para cólicas fisiológicas: Colocar o bebé de barriga para baixo no braço, massagem circular suave na barriga, movimento "bicicleta" nas perninhas. Paciência, é transitório.
Diarreia Aguda do Viajante | Viajantes recentes a países tropicais ou zonas de menor saneamento, pessoas que comeram alimentos crus/marisco. | HR > 110 bpm, confusão mental ou letargia severa, boca "seca como lixa", BP sistólica < 90 (Sinais claros de Desidratação Crítica). | Várias dejeções de fezes muito líquidas e frequentes, cólicas abdominais fortes, urgência extrema em defecar, ruídos intestinais, perda de apetite. Pode ter febre baixa. | Diarreia volumosa que persiste além de 4 a 5 dias, não parando com reidratação. | Não usar agentes que paralisam o intestino (Loperamida/Imodium) caso as fezes tenham muco ou sangue, ou se a febre for muito alta (risco de perfuração ou sépsis). | Notou presença de muito sangue misturado nas fezes líquidas? Tem conseguido urinar de forma normal nas últimas 8 horas? A febre chegou aos 39ºC? | Se sangue nas fezes ou se não urina há > 8h: Ligar SNS24 ou ir à Urgência. Tratamento base imperativo: Soro de reidratação oral, água engarrafada engarrafada (não da torneira), dieta leve com adstringentes. Se não houver febre alta ou sangue, pode usar antidiarreico por curto período (Loperamida).
Faringite Viral (Dor de Garganta Ligeira) | Adultos e crianças associada a mudanças de estação, excesso de uso de voz, ambientes climatizados (ar condicionado). | Sem febre ou febre baixa (< 38ºC). Sinais vitais normais. Dificuldade severa em respirar ou engolir (Alerta). | Garganta seca, arranhar ou ardor ligeiro (odinofagia ligeira), rouquidão, gânglios do pescoço ligeiramente aumentados mas pouco dolorosos. Associada a tosse seca ou nariz a pingar. | Infeção autolimitada que dura 3 a 5 dias e começa a aliviar por si mesma. | Antibióticos são 100% inúteis e contraindicados pois o agente causador é um vírus, não uma bactéria. | Acha que tem dificuldade em respirar ou sente a garganta inchar? Tem tido corrimento nasal claro associado? Há vermelhidão sem pontos brancos? | Hidratação abundante com chás mornos (mel e limão aliviam). Pastilhas para a garganta de venda livre (anestésicos locais ligeiros). Paracetamol para o mal-estar.
Vertigem Posicional (Tonturas Súbitas) | Idosos (> 60 anos) e mulheres (mais frequente). Doentes com problemas cervicais prévios. | Alerta máximo (Regra HINTS para AVC): Se a tontura tiver instalação súbita, perda de equilíbrio total (não consegue ficar de pé), audição repentinamente afetada, ou paralisia da face/braço, considerar AVC na parte posterior do cérebro. | Sensação rotatória rápida e intensa do ambiente a girar ("a sala roda"), que dura segundos a poucos minutos. Desencadeada exclusivamente por virar a cabeça na cama ou olhar para cima. Náuseas fortes que acompanham o movimento. | Crises severas e contínuas por mais de 24 a 48 horas que incapacitam o doente totalmente exigem avaliação ORL. | Não conduzir veículos, não operar máquinas e não caminhar em superfícies irregulares. Contraindicado deitar-se num quarto totalmente às escuras sem referência visual se estiver nauseado. | A sensação é da "sala a rodar" rapidamente quando vira a cabeça na cama? Sente fraqueza num lado do corpo, fala enrolada ou dificuldade de repente na visão? | Se fraqueza facial, braço caído ou fala enrolada: LIGAR 112 IMEDIATAMENTE (Suspeita AVC). Se for VPPB clássica (só tontura por segundos na cama): Manter movimentos lentos, sentar-se sempre devagar. Marcação de consulta médica para reposicionamento dos canais auditivos (Manobra de Epley).
Queimadura Solar Ligeira a Moderada | Pessoas de pele clara, crianças desprotegidas, após exposição solar > 2h (praia, neve, montanha). | BP baixa e HR alto acompanhados de letargia ou vómitos repetidos e febre muito alta indicam Insolação severa (Emergência Médica). | Pele intensamente vermelha, quente, esticada e dolorosa. Aparecimento de pequenas bolhas no espaço de 12 a 24 horas, calafrios ligeiros noturnos. | Casos em que as bolhas cobrem mais de 20% do corpo (ex: tronco inteiro ou duas pernas completas). | Contraindicada a aplicação de manteiga, clara de ovo, gelo direto ou pasta de dentes sobre a ferida. Nunca furar as bolhas intencionalmente. | As bolhas atingem áreas críticas (rosto, mãos ou genitais)? Sente tonturas e vómitos contínuos? A área queimada abrange quase todo o tronco? | Se vómitos contínuos ou bolhas no rosto/genitais: Urgência Hospitalar. Tratamento base: Banhos de água fria/morna contínuos, compressas de hidrogel ou pomadas próprias com sulfadiazina de prata (sem receita). Muita hidratação oral. Analgésico simples (Paracetamol).
Conjuntivite Infecciosa (Viral ou Bacteriana) | Crianças de infantário, nadadores, utilizadores de lentes de contacto. | Olho doloroso (dor profunda não apenas ardor), pupila com forma alterada, perda aguda da capacidade visual, fotofobia excruciante (suspeita de Úlcera da Córnea / Glaucoma). | Olho muito vermelho ("olho de coelho"), comichão/ardor (prurido ocular), sensação de areia no olho, pestanas coladas ao acordar com remelas espessas e purulentas (amarelas). Aumento crónico do choro. | Corrimento de pus que perdura sem melhorias mais de 5 a 7 dias ou que alastra velozmente de um olho para o outro acompanhado de dor forte. | Totalmente proibida a partilha de toalhas e almofadas. Contraindicado continuar a usar lentes de contacto (remover de imediato). | Tem sentido dor profunda dentro do olho ou apenas ardência à superfície? A sua visão ficou muito nublada ou vê clarões fortes? A secreção que sai é amarela e cola as pestanas? | Se notar visão turva grave ou dor profunda (olho "pedra"): Urgência de Oftalmologia. Para suspeita leve de conjuntivite: Lavar os olhos frequentementes com Soro Fisiológico e compressas não tecidas independentes (uma para cada olho). Lavagem massiva das mãos. Marcar avaliação com o Médico de Família.
Torcicolo Agudo e Dor Cervical | Trabalhadores de escritório (uso de computador), pós-dormida em má posição, correntes de ar diretas ou frio súbito. | Alerta Neurológico Superior: Se a dor no pescoço vier associada a formigueiros severos e fraqueza num braço e numa das mãos (pode indicar Hérnia Discal Cervical com compromisso das raízes motoras). Febre e pescoço rígido é sinal de Meningite! | Dor aguda numa faixa lateral do pescoço. Músculo dorido, tenso e contraído, sensação de "nó". Bloqueio do movimento: não consegue girar a cabeça para um dos lados. | Dores incapacitantes crónicas ou resultantes diretas de um acidente automóvel ("whiplash" / chicotada). | Repouso absoluto usando colar cervical imobilizador em esponja deve ser evitado se não for prescrito, pois agrava a atrofia muscular e retarda a recuperação funcional. | Consegue tocar com o queixo no peito se fizer esforço suave? Sente a sua mão e dedos adormecidos ou sem força? Levou alguma pancada forte de carro ou teve uma queda? | Se febre > 38.5 ou braço sem força: Ir às Urgências. Para bloqueios posturais simples: Aplicar saco de água quente / gel calorífico durante 15 a 20 minutos no músculo em espasmo. Analgesia/Anti-inflamatório oral ou gel local à base de Ibuprofeno/Diclofenac. Movimento ligeiro na amplitude tolerável.
Rinite Alérgica (Febre dos Fenos) | Crianças, jovens adolescentes. Maior ocorrência com a chegada da Primavera (pólenes) ou poeiras intensas / ácaros / pêlo de animais. | Alerta Sistémico: Dificuldade súbita e estridora a respirar pelos pulmões com chiadeira e urticária cutânea (risco Anafilaxia/Asma Grave associada). | Ataques de espirros repetidos "em salva", nariz constantemente a escorrer líquido cristalino (como água), comichão (prurido) intenso nos olhos, no céu da boca e no próprio nariz, lacrimejo ligeiro. Não cursa com febre. | Nariz completamente bloqueado em permanência que cause a perturbação diária e duradoura da capacidade de dormir. | A utilização prolongada (+ 5 dias) de sprays vasoconstritores (Descongestionantes) causa Rinite Medicamentosa (vício dos tecidos e bloqueio crónico grave de refluxo). | Já sentiu sintomas idênticos noutros anos durante a Primavera ou exposto ao pó? Sente falta de ar profunda a vir dos pulmões? O seu ranho tem sido verde e tem dores faciais ao curvar? (Isto apontaria a Sinusite). | Em situação de anafilaxia LIGAR 112. Crise alérgica clássica e rotineira: Toma de um comprimido anti-histamínico oral de 2ª geração (ex. Cetirizina / Loratadina, que têm menor efeito indutor de sono). Lavagens nasais com água do mar isotónica limpam o pólen aprisionado na cavidade nasal.
Cárie Dentária (Dor de Dentes Aguda) | Todas as faixas etárias, falta de acesso e acompanhamento oral preventivo. Excesso de açúcar na alimentação ou cáries profundas latentes com formação de abcesso. | Alerta Maxilo-Facial Grave: Rosto/bochecha visivelmente dilatada, assimetria, inchaço da papada (pescoço), olho apertado com gânglios inchados ou trismo (boca travada, não abre). | Dor aguda lancinante num dente e zonas adjacentes, constante ou provocada pela percussão, ao mastigar. Sensibilidade altíssima ao quente, ao muito frio e ao doce. Gengiva encarnada junto ao foco. | Perda de sono nocturno total provocada pelas dores intensas que agravam sempre que o doente se deita (pressão na polpa dentária aumenta na horizontal). | Contraindicada a administração e colocação direta de uma pastilha de Aspirina sobre as gengivas locais em contacto (risco gigante de queimadura química irreversível dos tecidos e ferida ulcerada). | Sente que toda a face ou pescoço do lado dessa dor inchou rapidamente? Consegue abrir normalmente toda a boca? Sente líquido de gosto péssimo a chegar à boca com frequência? | Rosto visivelmente muito inchado, não engolir ou com febre: Urgência Hospitalar (necessita drenagem e antibiótico endovenoso). Se apenas crise álgica (dor): Reforçar a correta escovagem diária, Ibuprofeno de toma pautada intercalada para controlar a inflamação e procurar dentista com caráter prioritário de 1 a 2 dias.
